Object,Comp,rms,RA,RAErr,Dec,DecErr,Flux,FluxErr,Maj,MajErr,Min,MinErr,PA,PAErr
g313.7654,C,1.64E-05,25:02.2,0.0293,-61:45:01.34320,0.0352,0.000414,2.10E-05,0.811,0.136,0.716,0.178,98,170
g313.7654,D,1.64E-05,25:00.1,0.0606,-61:44:53.34750,0.0728,0.000125,1.30E-05,-,-,-,-,-,-
g313.7654,E,1.64E-05,25:00.5,0.0878,-61:45:05.54850,0.1054,0.000343,7.20E-05,3.37,0.22,1.5,0.27,72.6,3.7
g317.4298,Core,8.46E-05,51:37.6,0.00058,-60:00:20.66065,0.00087,0.0241,0.00028,0.4491,0.005,0.2667,0.0085,136.6,1.6
g317.4298,SE,8.46E-05,,,,,0.0283,0.000437,,,,,,
g317.8908,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g317.9830,,-,,,,,<1.53e-4,-,-,-,-,-,-,-
g318.9480,A,2.06E-05,00:55.3,0.0662,-58:58:52.83640,0.0908,9.70E-05,1.30E-05,-,-,-,-,-,-
g326.6618,A,5.82E-05,-,-,-,-,<1.74e-4,-,-,-,-,-,-,-
g326.6618,W,5.82E-05,45:02.4,0.0276,-54:09:02.95280,0.0352,0.000868,5.10E-05,0.997,0.226,0.375,0.547,38,30
g327.1192,A,2.38E-05,47:32.8,0.0542,-53:52:39.67680,0.0713,0.000467,5.10E-05,1.68,0.35,0.53,0.46,157,36
g331.3576,A,2.38E-04,06:25.8,0.0292,-50:45:02.82280,0.0402,0.00191,0.00017,<0.56,-,<0.17,-,-,-
g331.4904,A,1.16E-03,12:07.5,0.0261,-51:30:02.2572,0.022,0.26,0.012,2.15,0.17,1.22,0.13,23.6,7.3
g331.5414,A,1.16E-03,12:09.0,0.00309,-51:25:47.80756,0.0026,0.206,0.0029,0.774,0.024,0.426,0.118,132.3,7.1
g331.5131,A,1.16E-03,,,,,0.17,0.0034,0.788,0.073,0.094,0.175,16.9,6.6
g331.5582,A,1.16E-03,12:27.3,0.0471,-51:27:32.6292,0.0396,0.103,0.0067,2.39,0.25,1.88,0.32,166,30
g332.0939,W,3.36E-05,16:16.5,0.0247,-51:18:25.35140,0.036,0.000991,9.20E-05,-,-,-,-,-,-
g332.0939,E,3.36E-05,16:16.7,0.0551,-51:18:26.60080,0.0803,0.000467,9.40E-05,-,-,-,-,-,-
g332.8256,A,2.84E-03,,,,,3.44,0.067,,,,,,
g332.9868,A,6.08E-05,20:37.8,0.01279,-50:43:49.50953,0.01931,0.00354,0.00026,-,-,-,-,-,-
g337.8442,A,-,-,-,-,-,-,-,-,-,-,-,-,-
g338.9196,A,4.76E-05,40:34.0,0.0348,-45:42:07.61400,0.0711,0.00014,4.00E-05,-,-,-,-,-,-
g339.6221,E,2.82E-05,46:06.0,0.01393,-45:36:43.74814,0.02622,0.00143,0.00016,1.25,0.23,0.2,0.11,177.6,4.5
g339.6221,W,2.82E-05,46:05.6,0.0883,-45:36:45.41910,0.1661,0.000131,2.60E-05,-,-,-,-,-,-
g339.8838,C,2.27E-05,52:04.7,0.0159,-46:08:34.15520,0.0349,0.00158,5.40E-05,1.126,0.082,0.617,0.183,160,11
g339.8838,SW,2.27E-05,52:04.2,0.049,-46:08:41.47350,0.1066,0.0015,0.00016,5.33,0.14,0.85,0.53,160.1,3.2
g339.8838,NE,2.27E-05,52:04.9,0.00856,-46:08:31.21636,0.01874,0.00236,4.30E-05,0.472,0.125,0.375,0.198,36,50
g340.0543,D,2.70E-04,48:13.8,0.0293,-45:21:45.87870,0.0454,0.00218,0.000546,-,-,-,-,-,-
g340.0543,E,2.70E-04,,,,,0.43,0.00717,6.9,-,6.4,-,-,-
g340.2480,A,-,,,,,-,-,-,-,-,-,-,-
g343.1261,Central,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,S1,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,S3,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N1,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N2,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.1261,N4,-,-,-,-,-,-,-,-,-,-,-,-,-
g343.5213,E,2.06E-05,,,,,0.000142,7.51E-05,-,-,-,-,-,-
g343.5213,W,2.06E-05,,,,,0.00057,7.49E-05,-,-,-,-,-,-
g345.4938,C,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,IW,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,IE,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,OW,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.4938,OE,-,-,-,-,-,-,-,-,-,-,-,-,-
g345.5043,A,1.70E-04,04:22.9,0.0615,-40:44:22.85700,0.0999,0.00155,0.0003,-,-,-,-,-,-
g345.9561,A,1.98E-05,04:43.0,0.151,-40:13:14.82000,0.404,9.30E-05,2.20E-05,1.58,0.3,0.39,0.81,174,10
g348.6972,A,1.37E-02,19:58.9,-,-38:58:14.80,-,2.163,0.054,2.933,0.093,2.015,0.112,102.6,5
